Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line,Over,Under
1,1,10/24/2023,38-298,LAL,@,DEN,L (-12),1,29:00:00,10,16,0.625,1,4,0.25,0,1,0,1,7,8,5,1,0,0,1,21,20.3,7,23.5,-120,-102
2,2,10/26/2023,38-300,LAL,,PHO,W (+5),1,35:00:00,7,14,0.5,1,5,0.2,6,8,0.75,1,7,8,9,2,2,5,1,21,20.3,22,20.5,-118,-104
3,3,10/29/2023,38-303,LAL,@,SAC,L (-5),1,39:05:00,11,19,0.579,3,8,0.375,2,6,0.333,0,15,15,8,0,0,8,2,27,17.8,-5,22.5,-100,-122
4,4,10/30/2023,38-304,LAL,,ORL,W (+3),1,32:47:00,7,17,0.412,2,6,0.333,3,4,0.75,0,3,3,4,3,1,5,0,19,11.9,5,24.5,-122,-104
5,5,11/1/2023,38-306,LAL,,LAC,W (+5),1,42:29:00,13,19,0.684,4,8,0.5,5,10,0.5,0,12,12,7,1,2,4,3,35,30.6,6,22.5,-104,-118
6,6,11/4/2023,38-309,LAL,@,ORL,L (-19),1,35:13:00,8,15,0.533,2,5,0.4,6,7,0.857,1,8,9,5,3,0,3,1,24,22.5,12,22.5,-118,-104
7,7,11/6/2023,38-311,LAL,@,MIA,L (-1),1,37:24:00,13,23,0.565,0,4,0,4,4,1,0,4,4,3,1,3,5,4,30,18.9,6,29.5,-115,-111
8,8,11/8/2023,38-313,LAL,@,HOU,L (-34),1,27:12:00,7,13,0.538,0,2,0,4,5,0.8,1,5,6,2,0,0,3,1,18,11.5,-24,26.5,-120,-102
9,9,11/10/2023,38-315,LAL,@,PHO,W (+3),1,36:23:00,11,17,0.647,3,4,0.75,7,11,0.636,1,10,11,6,1,1,4,1,32,28.1,2,23.5,-104,-118
10,,11/12/2023,38-317,LAL,,POR,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,23.5,-120,-106
